N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5000005407,3.5,41.5,11.857142857142858
5000012955,3.5,17.5,5.0
5000012956,3.5,17.5,5.0
5000012957,3.5,17.5,5.0
5000012958,3.5,80.0,22.857142857142858
5000012959,3.5,80.0,22.857142857142858
5000012960,3.5,41.5,11.857142857142858
5000012961,3.5,8.0,2.2857142857142856
5000012962,3.5,8.0,2.2857142857142856
5000012963,3.5,8.0,2.2857142857142856
5000002661,3.5,17.5,5.0
5000005316,3.5,60.0,17.142857142857142
5000005317,3.5,8.0,2.2857142857142856
5000005318,3.5,8.0,2.2857142857142856
5000005319,3.5,8.0,2.2857142857142856
5000005412,3.5,17.5,5.0
5000005413,3.5,17.5,5.0
5000005414,3.5,5.5,1.5714285714285714
5000005415,3.5,5.5,1.5714285714285714
5000005416,3.5,5.5,1.5714285714285714
5000005417,3.5,80.0,22.857142857142858
5000005418,3.5,80.0,22.857142857142858
5000005419,3.5,60.0,17.142857142857142
5000005420,3.5,60.0,17.142857142857142
5000012976,3.5,80.0,22.857142857142858
5000002502,3.5,70.0,20.0
5000002503,3.5,16.0,4.571428571428571
5000002505,3.5,15.8,4.514285714285714
5000004986,3.5,70.0,20.0
5000004987,3.5,70.0,20.0
5000004988,3.5,80.0,22.857142857142858
5000004989,3.5,80.0,22.857142857142858
5000004990,3.5,80.0,22.857142857142858
5000004991,3.5,19.0,5.428571428571429
5000004992,3.5,19.0,5.428571428571429
5000004993,3.5,19.0,5.428571428571429
5000004994,3.5,16.0,4.571428571428571
5000004995,3.5,16.0,4.571428571428571
5000004996,3.5,15.8,4.514285714285714
5000004997,3.5,15.8,4.514285714285714
5000002511,3.5,80.0,22.857142857142858
5000002513,3.5,15.8,4.514285714285714
5000004913,3.5,19.0,5.428571428571429
5000004914,3.5,19.0,5.428571428571429
5000004915,3.5,16.0,4.571428571428571
5000004916,3.5,16.0,4.571428571428571
5000004917,3.5,16.0,4.571428571428571
5000004918,3.5,15.8,4.514285714285714
5000004919,3.5,15.8,4.514285714285714
5000005010,3.5,70.0,20.0
5000005011,3.5,70.0,20.0
5000005012,3.5,70.0,20.0
5000005013,3.5,80.0,22.857142857142858
5000005014,3.5,80.0,22.857142857142858
5000005015,3.5,19.0,5.428571428571429
5000002526,3.5,70.0,20.0
5000002527,3.5,19.0,5.428571428571429
5000004942,3.5,70.0,20.0
5000004943,3.5,70.0,20.0
5000004944,3.5,80.0,22.857142857142858
5000004945,3.5,80.0,22.857142857142858
5000004946,3.5,80.0,22.857142857142858
5000004947,3.5,19.0,5.428571428571429
5000004948,3.5,19.0,5.428571428571429
5000004949,3.5,16.0,4.571428571428571
5000004950,3.5,16.0,4.571428571428571
5000004951,3.5,16.0,4.571428571428571
5000004952,3.5,15.8,4.514285714285714
5000004953,3.5,15.8,4.514285714285714
5000004954,3.5,15.8,4.514285714285714
5000002434,3.5,54.0,15.428571428571429
5000002436,3.5,12.5,3.5714285714285716
5000004862,3.5,12.5,3.5714285714285716
5000004863,3.5,12.5,3.5714285714285716
5000004864,3.5,12.5,3.5714285714285716
5000004865,3.5,12.5,3.5714285714285716
5000004866,3.5,12.5,3.5714285714285716
5000004867,3.5,3.0,0.8571428571428571
5000004868,3.5,3.0,0.8571428571428571
5000004869,3.5,3.0,0.8571428571428571
5000004870,3.5,8.0,2.2857142857142856
